Horodateur;wiek;plec;narodowosc;D4;D5;6. Czy znasz osobę chorującą na padaczkę?;7. Czy kiedykolwiek słyszałeś_aś lub czytałeś_aś o padaczce?;8. Czy byłeś_aś świadkiem napadu padaczkowego?;9.Jak oceniasz swoją wiedzę o padaczce i pomocy w trakcie napadu padaczkowego?;D6;D7;D8;D9;1. U osoby będącej w trakcie napadu padaczkowego postaram się rozchylić usta w celu włożenia czegoś między jej zęby, aby zapobiec przegryzieniu języka.;2. Do osoby w czasie napadu padaczkowego będę głośno krzyczeć i potrząsać nią, aby odzyskała przytomność, w ten sposób zatrzymam napad.;3. Odsunę wszystkie niebezpieczne przedmioty znajdujące się w pobliżu osoby będącej w trakcie napadu padaczkowego, aby zapobiec dodatkowym urazom.;4. Po ustaniu napadu padaczkowego osobę należy ułożyć w pozycji bezpiecznej oraz pozostać z nią do czasu odzyskania pełnej sprawności.;5. Podczas napadu padaczkowego u osoby, która regularnie przyjmuje leki przeciwpadaczkowe, należy jak najszybciej podać lek doustnie.;6. Osobę w trakcie napadu padaczkowego należy przytrzymać i ograniczyć jej ruchy.;7. W czasie każdego napadu padaczkowego należy wezwać pogotowie ratunkowe.;8. Sztuczne oddychanie nie jest czynnością konieczną w trakcie każdego napadu padaczkowego.;9. Po ustaniu napadu padaczkowego chory najczęściej natychmiast wraca do pełni sprawności, nie odczuwając przy tym żadnych dolegliwości.;10.Jeden napad padaczkowy wystarczy żeby rozpoznać padaczkę u osoby nie będącej w grupie wysokiego ryzyka nawrotu kolejnych napadów.;11. Do objawów napadu padaczkowego należą:;12.Który z czynników może sprowokować napad padaczkowy?;13. Osoba chorująca na padaczkę:;14. Padaczka to:;15.Zaznacz stwierdzenie fałszywe;1. U osoby będącej w trakcie napadu padaczkowego postaram się rozchylić usta w celu włożenia czegoś między jej zęby, aby zapobiec przegryzieniu języka.;2. Do osoby w czasie napadu padaczkowego będę głośno krzyczeć i potrząsać nią, aby odzyskała przytomność, w ten sposób zatrzymam napad.;3. Odsunę wszystkie niebezpieczne przedmioty znajdujące się w pobliżu osoby będącej w trakcie napadu padaczkowego, aby zapobiec dodatkowym urazom.;4. Po ustaniu napadu padaczkowego osobę należy ułożyć w pozycji bezpiecznej oraz pozostać z nią do czasu odzyskania pełnej sprawności.;5. Podczas napadu padaczkowego u osoby, która regularnie przyjmuje leki przeciwpadaczkowe, należy jak najszybciej podać lek doustnie.;6. Osobę w trakcie napadu padaczkowego należy przytrzymać i ograniczyć jej ruchy.;7. W czasie każdego napadu padaczkowego należy wezwać pogotowie ratunkowe.;8. Sztuczne oddychanie nie jest czynnością konieczną w trakcie każdego napadu padaczkowego.;9. Po ustaniu napadu padaczkowego chory najczęściej natychmiast wraca do pełni sprawności, nie odczuwając przy tym żadnych dolegliwości.;10.Jeden napad padaczkowy wystarczy żeby rozpoznać padaczkę u osoby nie będącej w grupie wysokiego ryzyka nawrotu kolejnych napadów.;11. Do objawów napadu padaczkowego należą:;12.Który z czynników może sprowokować napad padaczkowy?;13. Osoba chorująca na padaczkę:;14. Padaczka to:;15.Zaznacz stwierdzenie fałszywe;16. Czy uważasz, że w toku nauczania szkolnego powinny być ujęte tego typu lekcje na temat stwardnienia rozsianego, padaczki i innych częstych schorzeń zdrowotnych?;QA1;QA2;QA3;QA4;QA5;QA6;QA7;QA8;QA9;QA10;QA11;QA12;QA13;QA14;QB1;QB2;QB3;QB4;QB5;QB6;QB7;QB8;QB9;QB10;QB11;QB12;QB13;QB14;15. Czy uważasz, że w toku nauczania szkolnego powinny być ujęte tego typu lekcje na temat stwardnienia rozsianego, padaczki i innych częstych schorzeń zdrowotnych?
2024/01/15 11:11:39 AM UTC+2;17-18 lat;Kobieta;Polska;Miasto od 100 000 do 500 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Tak;Słaba;Tak;Rodzina;Tak;Słaba;FAŁSZ;FAŁSZ;PRAWDA;Nie wiem;Nie wiem;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Posiada bezwzględny zakaz prowadzenia samochodu;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;Nie wiem;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Tak
2024/01/15 11:13:55 AM UTC+2;16-17 lat;Kobieta;Polska;Miasto do 50 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Nie;Dobra;Tak;"Rodzina;Szkoła;Internet";Nie;Dobra;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;Nie wiem;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Padaczka jest chorobą uleczalną;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Nie wiem;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Nie wiem;Wszystkie powyższe odpowiedzi są poprawne;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;Tak
2024/01/15 11:14:50 AM UTC+2;15-16 lat;Kobieta;Polska;Miasto powyżej 500 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Nie;Średnia;Tak;"Internet;Inne (jakie);Książki ";Nie;Słaba;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;Nie wiem;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Padaczka jest chorobą uleczalną;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Nie wiem;Nie wiem;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;Tak
2024/01/15 11:15:26 AM UTC+2;14-15 lat;Kobieta;Polska;Miasto powyżej 500 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Tak;Słaba;Nie;;Nie;Nic nie wiem o tej chorobie;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;Nie wiem;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;Drgawki i krótkotrwała utrata świadomości;Wszystkie odpowiedzi są prawidłowe;Posiada bezwzględny zakaz prowadzenia samochodu;Przewlekła choroba neurologiczna;Padaczka jest chorobą uleczalną;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Nie wiem;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Kłopoty z pęcherzem, jelitami i funkcjami seksualnymi;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Tak
2024/01/15 11:15:42 AM UTC+2;15-16 lat;Kobieta;Polska;Miasto powyżej 500 000 mieszkańców;Z rozszerzoną biologią;Tak;Tak;Tak;Bardzo dobra;Tak;Szkoła;Tak;Dobra;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Drgawki i krótkotrwała utrata świadomości;Wszystkie odpowiedzi są prawidłowe;Nie może być aktywna zawodowo;Choroba występująca tylko w wieku dziecięcym;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Immunologicznego;Przyczyn genetycznych i jest chorobą dziedziczną;Ból gałki ocznej, zaburzenia widzenia (osłabienie ostrości wzroku lub widzenie podwójne);Zaburzenia funkcji poznawczych (kłopoty z pamięcią i znajdowaniem odpowiednich słów);Nie wiem;FAŁSZ;FAŁSZ;FAŁSZ;Nie wiem;Nie wiem;PRAWDA;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Tak
2024/01/15 11:15:54 AM UTC+2;17-18 lat;Kobieta;Polska;Miasto powyżej 500 000 mieszkańców;Z rozszerzoną biologią;Tak;Tak;Tak;Bardzo dobra;Tak;"Rodzina;Internet";Nie;Słaba;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Posiada bezwzględny zakaz prowadzenia samochodu;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Nie wiem;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Nie wiem;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;Tak
2024/01/15 11:16:01 AM UTC+2;15-16 lat;Inna;Polska;Miasto od 50 000 do 100 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Nie;Nic nie wiem o tej chorobie;Tak;"Rodzina;Internet";Nie;Słaba;Nie wiem;Nie wiem;PRAWDA;Nie wiem;FAŁSZ;Nie wiem;PRAWDA;Nie wiem;Nie wiem;Nie wiem;Drgawki i krótkotrwała utrata świadomości;Migające światło;Posiada bezwzględny zakaz prowadzenia samochodu;Przewlekła choroba neurologiczna;Padaczka jest chorobą uleczalną;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Padaczka jest chorobą uleczalną;Tak;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Zaburzenia funkcji poznawczych (kłopoty z pamięcią i znajdowaniem odpowiednich słów);FAŁSZ;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;PRAWDA;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Nie wiem;PRAWDA;PRAWDA;Tak
2024/01/15 11:16:02 AM UTC+2;16-17 lat;Kobieta;Polska;Miasto do 50 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Nie;Słaba;Tak;"Rodzina;Internet";Nie;Słaba;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;Nie wiem;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Leczeniem padaczki zajmuje się lekarz neurolog;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Nie wiem;Nie wiem;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;Nie wiem;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;Tak
2024/01/15 11:16:03 AM UTC+2;15-16 lat;Mężczyzna;Polska;Miasto powyżej 500 000 mieszkańców;Z rozszerzoną biologią;Nie;Tak;Nie;Średnia;Tak;Internet;Nie;Średnia;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Padaczka jest chorobą uleczalną;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Nie wiem;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;Tak
2024/01/15 11:16:03 AM UTC+2;17-18 lat;Kobieta;Polska;Miasto powyżej 500 000 mieszkańców;Z rozszerzoną biologią;Tak;Tak;Nie;Dobra;Tak;"Rodzina;Znajomi";Nie;Średnia;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;Wszystkie odpowiedzi są prawidłowe;Wszystkie odpowiedzi są prawidłowe;Może uprawiać większość dyscyplin sportowych za wyjątkiem nurkowania i wspinaczki;Przewlekła choroba neurologiczna;Osoby chorujące na padaczkę muszą przyjmować leki do końca swojego życia;Tak;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Immunologicznego;Przyczyny stwardnienia rozsianego nie są do końca znane;Wszystkie powyższe odpowiedzi są poprawne;Wszystkie powyższe odpowiedzi są poprawne;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;Tak
